nrc,clave,materia,secc,días,hora,profesor,salón,,origen_pdf,hora_inicio,hora_fin,duracion_min,dia_codigo,dia_semana,edificio,aula,codigo_salon
25966,IDDS 001,Administracion de Proyectos,101,A,0700-0859,Rodriguez Pedroza Berenice,1CCO1/004,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,07:00:00,08:59:00,119,A,Martes,1CCO1,004,1CCO1/004
25966,IDDS 001,Administracion de Proyectos,101,J,0700-0859,Rodriguez Pedroza Berenice,1CCO1/004,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,07:00:00,08:59:00,119,J,Jueves,1CCO1,004,1CCO1/004
25978,IDDS 001,Administracion de Proyectos,102,A,0900-1059,Romero Valdez Maria Del Carmen,1CCO5/203,"CURSO
IMPARTIDO EN
INGLES",PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,09:00:00,10:59:00,119,A,Martes,1CCO5,203,1CCO5/203
25978,IDDS 001,Administracion de Proyectos,102,J,0900-1059,Romero Valdez Maria Del Carmen,1CCO5/203,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,09:00:00,10:59:00,119,J,Jueves,1CCO5,203,1CCO5/203
26005,IDDS 001,Administracion de Proyectos,103,M,1700-1859,Romero Valdez Maria Del Carmen,1CCO1/002,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,17:00:00,18:59:00,119,M,Miercoles,1CCO1,002,1CCO1/002
26005,IDDS 001,Administracion de Proyectos,103,V,1700-1859,Romero Valdez Maria Del Carmen,1CCO1/002,"CURSO
IMPARTIDO EN
INGLES",PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,17:00:00,18:59:00,119,V,Viernes,1CCO1,002,1CCO1/002
26030,IDDS 001,Administracion de Proyectos,104,A,1700-1859,Romero Valdez Maria Del Carmen,1CCO5/201,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,17:00:00,18:59:00,119,A,Martes,1CCO5,201,1CCO5/201
26030,IDDS 001,Administracion de Proyectos,104,J,1700-1859,Romero Valdez Maria Del Carmen,1CCO5/201,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,17:00:00,18:59:00,119,J,Jueves,1CCO5,201,1CCO5/201
26065,IDDS 001,Administracion de Proyectos,105,M,1100-1259,Vera Cervantes Eugenia Erica,1CCO1/001,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,11:00:00,12:59:00,119,M,Miercoles,1CCO1,001,1CCO1/001
26065,IDDS 001,Administracion de Proyectos,105,V,1100-1259,Vera Cervantes Eugenia Erica,1CCO1/001,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,11:00:00,12:59:00,119,V,Viernes,1CCO1,001,1CCO1/001
26082,IDDS 001,Administracion de Proyectos,106,M,1500-1659,Ambrosio Vazquez Alma Delia,1CCO5/203,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,15:00:00,16:59:00,119,M,Miercoles,1CCO5,203,1CCO5/203
26082,IDDS 001,Administracion de Proyectos,106,V,1500-1659,Ambrosio Vazquez Alma Delia,1CCO5/203,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,15:00:00,16:59:00,119,V,Viernes,1CCO5,203,1CCO5/203
26104,IDDS 001,Administracion de Proyectos,108,M,0900-1059,Zenteno Vazquez Ana Claudia,1CCO4/203,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,09:00:00,10:59:00,119,M,Miercoles,1CCO4,203,1CCO4/203
26104,IDDS 001,Administracion de Proyectos,108,V,0900-1059,Zenteno Vazquez Ana Claudia,1CCO4/203,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,09:00:00,10:59:00,119,V,Viernes,1CCO4,203,1CCO4/203
26119,IDDS 001,Administracion de Proyectos,109,A,1300-1459,Gonzalez Flores Marcos,1CCO4/201,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,13:00:00,14:59:00,119,A,Martes,1CCO4,201,1CCO4/201
26119,IDDS 001,Administracion de Proyectos,109,J,1300-1459,Gonzalez Flores Marcos,1CCO4/201,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,13:00:00,14:59:00,119,J,Jueves,1CCO4,201,1CCO4/201
26125,IDDS 001,Administracion de Proyectos,110,M,0700-0859,Mendoza Rojas Angel Omar,1CCO4/401,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,07:00:00,08:59:00,119,M,Miercoles,1CCO4,401,1CCO4/401
26125,IDDS 001,Administracion de Proyectos,110,V,0700-0859,Mendoza Rojas Angel Omar,1CCO4/401,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,07:00:00,08:59:00,119,V,Viernes,1CCO4,401,1CCO4/401
25094,ICCS 261,Administracion de Redes,OO1,L,1100-1159,Zenteno Vazquez Ana Claudia,1CCO1/005,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,11:00:00,11:59:00,59,L,Lunes,1CCO1,005,1CCO1/005
25094,ICCS 261,Administracion de Redes,OO1,M,1100-1259,Zenteno Vazquez Ana Claudia,1CCO1/005,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,11:00:00,12:59:00,119,M,Miercoles,1CCO1,005,1CCO1/005
25094,ICCS 261,Administracion de Redes,OO1,V,1100-1259,Zenteno Vazquez Ana Claudia,1CCO3/302,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,11:00:00,12:59:00,119,V,Viernes,1CCO3,302,1CCO3/302
25117,ICCS 261,Administracion de Redes,OO2,L,1300-1359,Romero Hernandez Yeiny,1CCO3/302,,PA_OTOÑO_2025_SEMESTRAL_ICC.pdf,13:00:00,13:59:00,59,L,Lunes,1CCO3,302,1CCO3/302
