id_docente,id_materia,id_espacio,id_tiempo,nrc,clave,secc,duracion_min
1,1,1,1,25966,IDDS 001,101,119
1,1,1,2,25966,IDDS 001,101,119
2,1,2,3,25978,IDDS 001,102,119
2,1,2,4,25978,IDDS 001,102,119
2,1,3,5,26005,IDDS 001,103,119
2,1,3,6,26005,IDDS 001,103,119
2,1,4,7,26030,IDDS 001,104,119
2,1,4,8,26030,IDDS 001,104,119
3,1,5,9,26065,IDDS 001,105,119
3,1,5,10,26065,IDDS 001,105,119
4,1,2,11,26082,IDDS 001,106,119
4,1,2,12,26082,IDDS 001,106,119
5,1,6,13,26104,IDDS 001,108,119
5,1,6,14,26104,IDDS 001,108,119
6,1,7,15,26119,IDDS 001,109,119
6,1,7,16,26119,IDDS 001,109,119
7,1,8,17,26125,IDDS 001,110,119
7,1,8,18,26125,IDDS 001,110,119
5,2,9,19,25094,ICCS 261,OO1,59
5,2,9,9,25094,ICCS 261,OO1,119
5,2,10,10,25094,ICCS 261,OO1,119
8,2,10,20,25117,ICCS 261,OO2,59
8,2,10,21,25117,ICCS 261,OO2,119
8,2,11,22,25117,ICCS 261,OO2,119
9,2,9,15,25138,ICCS 261,OO3,119
9,2,10,16,25138,ICCS 261,OO3,119
9,2,9,23,25138,ICCS 261,OO3,59
5,2,12,15,25165,ICCS 261,OO4,119
5,2,13,16,25165,ICCS 261,OO4,119
5,2,13,23,25165,ICCS 261,OO4,59
10,3,14,3,42753,ISCO 201,O1O,119
10,3,15,4,42753,ISCO 201,O1O,119
10,3,15,24,42753,ISCO 201,O1O,59
11,3,5,25,26508,ISCO 201,OO1,59
11,3,5,13,26508,ISCO 201,OO1,119
11,3,5,14,26508,ISCO 201,OO1,119
12,3,16,3,26535,ISCO 201,OO2,119
12,3,16,4,26535,ISCO 201,OO2,119
12,3,16,24,26535,ISCO 201,OO2,59
13,3,16,15,26540,ISCO 201,OO3,119
13,3,16,16,26540,ISCO 201,OO3,119
13,3,16,23,26540,ISCO 201,OO3,59
14,3,16,26,26546,ISCO 201,OO4,119
14,3,16,27,26546,ISCO 201,OO4,119
14,3,16,28,26546,ISCO 201,OO4,59
15,3,17,26,26553,ISCO 201,OO5,119
15,3,8,27,26553,ISCO 201,OO5,119
15,3,8,28,26553,ISCO 201,OO5,59
16,3,9,1,26558,ISCO 201,OO6,119
16,3,9,2,26558,ISCO 201,OO6,119
16,3,9,29,26558,ISCO 201,OO6,59
17,3,18,20,26565,ISCO 201,OO7,59
17,3,18,21,26565,ISCO 201,OO7,119
17,3,18,22,26565,ISCO 201,OO7,119
18,3,19,1,26570,ISCO 201,OO8,119
18,3,20,2,26570,ISCO 201,OO8,119
18,3,19,29,26570,ISCO 201,OO8,59
19,3,21,7,26574,ISCO 201,OO9,119
19,3,21,8,26574,ISCO 201,OO9,119
19,3,21,30,26574,ISCO 201,OO9,59
20,4,22,3,25104,CCOS 609,OO1,119
20,4,3,4,25104,CCOS 609,OO1,119
20,4,22,24,25104,CCOS 609,OO1,59
21,4,17,19,25114,CCOS 609,OO2,59
21,4,19,9,25114,CCOS 609,OO2,119
21,4,17,10,25114,CCOS 609,OO2,119
22,4,23,31,25126,CCOS 609,OO3,119
22,4,5,32,25126,CCOS 609,OO3,119
22,4,23,33,25126,CCOS 609,OO3,59
23,5,1,26,25245,CCOS 701,OO1,119
23,5,22,27,25245,CCOS 701,OO1,119
23,5,22,28,25245,CCOS 701,OO1,59
