id_espacio,edificio,aula,codigo_salon
1,1CCO1,004,1CCO1/004
2,1CCO5,203,1CCO5/203
3,1CCO1,002,1CCO1/002
4,1CCO5,201,1CCO5/201
5,1CCO1,001,1CCO1/001
6,1CCO4,203,1CCO4/203
7,1CCO4,201,1CCO4/201
8,1CCO4,401,1CCO4/401
9,1CCO1,005,1CCO1/005
10,1CCO3,302,1CCO3/302
11,1CCO4,303,1CCO4/303
12,1CCO4,202,1CCO4/202
13,1CCO3,301,1CCO3/301
14,1CCO4,104,1CCO4/104
15,1CCO3,104,1CCO3/104
16,1CCO1,003,1CCO1/003
17,1CCO4,307,1CCO4/307
18,1CCO4,103,1CCO4/103
19,1CCO4,204,1CCO4/204
20,1CCO3,101,1CCO3/101
21,1CCO4,304,1CCO4/304
22,1CCO3,114,1CCO3/114
23,1CCO3,109,1CCO3/109
24,1CCO2,208,1CCO2/208
25,1CCO4,308,1CCO4/308
26,1CCO5,202,1CCO5/202
27,1CCO3,309,1CCO3/309
28,1CCO3,208,1CCO3/208
29,1CCO4,402,1CCO4/402
30,1CCO4,305,1CCO4/305
31,1CCO2,207,1CCO2/207
32,1CCO4,306,1CCO4/306
33,1CCO3,310,1CCO3/310
34,1CCO4,102,1CCO4/102
35,1CCO4,403,1CCO4/403
36,1CCO4,404,1CCO4/404
37,1CCO4,301,1CCO4/301
38,1CCO4,101,1CCO4/101
39,1CCO3,303,1CCO3/303
40,1CCO5,107,1CCO5/107
41,1CCO4,206,1CCO4/206
42,1EMA5,205,1EMA5/205
